taz,lat,lon,center
1024,47.41855877,-122.2395533,Kent MIC
1023,47.41943069,-122.2327728,Kent MIC
1022,47.42128254,-122.2244917,Kent MIC
1019,47.43425213,-122.2367103,Kent MIC
1021,47.43491856,-122.2223582,Kent MIC
1020,47.43500093,-122.229122,Kent MIC
3653,47.48287118,-122.753618,Puget Sound Industrial Center- Bremerton
907,47.49233523,-122.2836225,North Tukwila
906,47.49240007,-122.2890987,North Tukwila
878,47.50345155,-122.2924006,North Tukwila
879,47.50752012,-122.2982879,North Tukwila
843,47.51283823,-122.2820003,Duwamish
842,47.51320464,-122.2884617,Duwamish
826,47.52053255,-122.3208335,Duwamish
874,47.52103696,-122.2968428,North Tukwila
873,47.52162093,-122.3034906,North Tukwila
824,47.52467618,-122.3122783,Duwamish
805,47.53035998,-122.3312341,Duwamish
807,47.53490546,-122.3183119,Duwamish
809,47.53551347,-122.3060922,Duwamish
804,47.53541671,-122.3287764,Duwamish
777,47.53735458,-122.3014773,Duwamish
808,47.53981592,-122.3166473,Duwamish
780,47.54094895,-122.3278737,Duwamish
779,47.54430465,-122.3254437,Duwamish
757,47.54831267,-122.3428511,Duwamish
758,47.54993073,-122.3368414,Duwamish
763,47.55056648,-122.3167283,Duwamish
761,47.55056458,-122.3256064,Duwamish
760,47.55069847,-122.3317924,Duwamish
759,47.55324092,-122.3355335,Duwamish
727,47.55788341,-122.3327327,Duwamish
725,47.56010458,-122.3250643,Duwamish
728,47.56162004,-122.3367309,Duwamish
726,47.56275113,-122.3315111,Duwamish
704,47.56433943,-122.341931,Duwamish
703,47.56553595,-122.3515846,Duwamish
700,47.56812651,-122.3669494,Duwamish
707,47.56908147,-122.3244897,Duwamish
706,47.56945608,-122.3316432,Duwamish
705,47.56943698,-122.3367663,Duwamish
672,47.57358118,-122.3367621,Duwamish
673,47.57521411,-122.3411181,Duwamish
670,47.57567873,-122.3246561,Duwamish
671,47.57568505,-122.3316255,Duwamish
675,47.57770114,-122.3659956,Duwamish
674,47.57964387,-122.3514401,Duwamish
655,47.58078921,-122.3367354,Duwamish
657,47.582664,-122.324241,Duwamish
656,47.58296159,-122.3316255,Duwamish
654,47.5856368,-122.3406874,Duwamish
652,47.5882274,-122.3316079,Duwamish
653,47.58868085,-122.336025,Duwamish
650,47.58939177,-122.3247647,Duwamish
651,47.59135395,-122.3315884,Duwamish
634,47.59394988,-122.3262475,Duwamish
635,47.59468138,-122.3233448,Duwamish
633,47.5948158,-122.3381217,Duwamish
632,47.59573536,-122.3348792,Duwamish
444,47.62245268,-122.3646754,Ballard-Interbay
394,47.62883088,-122.3745132,Ballard-Interbay
390,47.63474539,-122.3836407,Ballard-Interbay
342,47.65197127,-122.3802632,Ballard-Interbay
336,47.65460546,-122.3693519,Ballard-Interbay
329,47.65638785,-122.3637439,Ballard-Interbay
335,47.65846911,-122.3851057,Ballard-Interbay
330,47.66033337,-122.3684599,Ballard-Interbay
259,47.6618627,-122.3731328,Ballard-Interbay
261,47.66357635,-122.3679412,Ballard-Interbay
257,47.66372398,-122.3793843,Ballard-Interbay
255,47.6640398,-122.3828961,Ballard-Interbay
258,47.66615675,-122.3734914,Ballard-Interbay
253,47.66766665,-122.3898314,Ballard-Interbay
2415,47.89410128,-122.2579154,Paine Field / Boeing Everett
2403,47.90619306,-122.2809828,Paine Field / Boeing Everett
2401,47.91456895,-122.2653254,Paine Field / Boeing Everett
2311,47.93144972,-122.2549986,Paine Field / Boeing Everett
2309,47.93353519,-122.2774941,Paine Field / Boeing Everett
2313,47.9385288,-122.246513,Paine Field / Boeing Everett
2310,47.94658706,-122.2658844,Paine Field / Boeing Everett
