taz,geog_name,district,lat_1,lon_1
164,King County,North Seattle-Shoreline,47.51978,-122.138064
165,King County,North Seattle-Shoreline,47.51978,-122.138064
166,King County,North Seattle-Shoreline,47.51978,-122.138064
167,King County,North Seattle-Shoreline,47.51978,-122.138064
168,King County,North Seattle-Shoreline,47.51978,-122.138064
169,King County,North Seattle-Shoreline,47.51978,-122.138064
170,King County,North Seattle-Shoreline,47.51978,-122.138064
171,King County,North Seattle-Shoreline,47.51978,-122.138064
172,King County,North Seattle-Shoreline,47.51978,-122.138064
173,King County,North Seattle-Shoreline,47.51978,-122.138064
174,King County,North Seattle-Shoreline,47.51978,-122.138064
175,King County,North Seattle-Shoreline,47.51978,-122.138064
176,King County,North Seattle-Shoreline,47.51978,-122.138064
177,King County,North Seattle-Shoreline,47.51978,-122.138064
178,King County,North Seattle-Shoreline,47.51978,-122.138064
179,King County,North Seattle-Shoreline,47.51978,-122.138064
180,King County,North Seattle-Shoreline,47.51978,-122.138064
181,King County,North Seattle-Shoreline,47.51978,-122.138064
182,King County,North Seattle-Shoreline,47.51978,-122.138064
183,King County,North Seattle-Shoreline,47.51978,-122.138064
184,King County,North Seattle-Shoreline,47.51978,-122.138064
185,King County,North Seattle-Shoreline,47.51978,-122.138064
186,King County,North Seattle-Shoreline,47.51978,-122.138064
187,King County,North Seattle-Shoreline,47.51978,-122.138064
188,King County,North Seattle-Shoreline,47.51978,-122.138064
189,King County,North Seattle-Shoreline,47.51978,-122.138064
190,King County,North Seattle-Shoreline,47.51978,-122.138064
191,King County,North Seattle-Shoreline,47.51978,-122.138064
192,King County,North Seattle-Shoreline,47.51978,-122.138064
193,King County,North Seattle-Shoreline,47.51978,-122.138064
194,King County,North Seattle-Shoreline,47.51978,-122.138064
195,King County,North Seattle-Shoreline,47.51978,-122.138064
196,King County,North Seattle-Shoreline,47.51978,-122.138064
197,King County,North Seattle-Shoreline,47.51978,-122.138064
198,King County,North Seattle-Shoreline,47.51978,-122.138064
199,King County,North Seattle-Shoreline,47.51978,-122.138064
