id,6to7_board,6to7_time,7to8_board,7to8_time,8to9_board,8to9_time
66,88.06282806,24.24544525,120.8768997,24.40468025,98.59651184,24.35417366
67,5.171750069,10.10741329,6.059466839,10.30357742,6.268435001,10.17407322
68,46.51148605,9.483632088,48.14277649,9.52249527,37.99483871,9.514385223
69,31.03050041,9.956757545,36.35680389,10.15100002,37.61061096,10.02263451
70,0.02783726,8.044117928,0,8.085730553,0.0818578,8.044512749
71,8.045643806,33.938591,11.15985203,34.33670807,9.393465042,34.05016327
72,77.07446289,33.49007034,108.1406479,33.88816833,90.47215271,33.60162354
73,51.98559952,30.59235382,57.00743484,30.77616882,51.40289688,30.66978264
74,7.656776428,23.33718109,11.47372627,23.515728,11.32733917,23.41106796
75,15.80548382,17.21193123,18.54733658,17.41144562,19.27770615,17.28134727
76,68.40035248,37.13286591,86.75228882,38.40078354,72.60971069,37.68889236
77,162.0119934,44.81052399,199.3148956,45.47925568,161.5194092,45.12400818
78,119.217308,44.6029129,115.1519928,45.24436188,83.01560974,44.90652466
79,34.63714218,44.75381088,44.67068863,46.06554031,37.1349411,45.32530594
80,11.54571724,48.65792465,14.89022636,50.12055588,12.37831211,49.30293274
81,168.9966888,57.72572708,194.7467651,59.39068604,178.813446,58.4810524
82,194.0106354,55.46900558,232.7243805,56.40279007,181.2534027,55.91519547
83,47.42482758,55.46900558,56.88818359,56.40279007,44.30638885,55.91519547
84,63.94503021,39.95966339,77.80180359,41.06657028,66.0475235,40.40997314
85,43.23560715,48.30286026,46.56176758,48.97740173,33.52267456,48.79010391
86,84.6842804,42.46152496,91.66448975,43.13077927,65.14457703,42.94521713
87,21.63855553,52.16053391,25.12716866,52.82191467,16.577528,52.58340073
88,24.9963932,43.47237015,27.58185005,43.91159058,18.27623177,43.77774429
89,9.484982491,44.69391632,11.59679222,45.80655289,9.747294426,45.14529037
90,145.0399017,46.94730377,193.8387146,47.47489166,170.2953796,47.36838531
91,20.91511726,46.57197571,24.39946556,47.98638153,21.85887146,47.21009445
92,47.40176392,46.16596222,42.85503006,46.64992523,39.28160858,46.55710602
93,10.16344166,46.48200989,11.89760208,47.81177521,10.81178951,47.08761597
94,51.55953217,40.0043602,58.84111023,41.37607574,53.26370621,40.62812805
95,18.9544487,27.80174255,23.51832008,27.92052078,18.18270302,27.8188324
96,19.25104141,31.78352356,23.53369713,31.90230179,18.47870255,31.8006134
97,70.50947571,53.66184998,75.69954681,55.0373764,57.56178284,54.11451721
98,33.68957901,36.17805862,40.45281219,36.62927628,30.99973488,36.51251984
99,98.48110962,52.50320053,104.6853714,54.60697556,77.49155426,53.17515564
100,29.84524918,54.58570862,33.09588242,55.39181137,25.97797966,55.12588882
101,55.10125351,57.69309235,58.07003021,59.17995071,47.44054031,58.37368011
102,26.50027466,44.88763809,27.83753395,47.05358887,29.73919106,45.43822861
103,59.47723389,37.78420639,62.59690475,38.82767868,44.85064316,38.1438179
104,11.14883518,46.70161057,12.17537975,48.86785507,12.67465591,47.25226974
105,24.31266022,39.50788498,34.31046677,39.7624855,22.78301239,39.57984543
106,36.32411194,35.52611923,51.51910019,35.78071976,33.73052216,35.59807968
107,31.65228271,41.38246918,40.12437439,41.65888977,27.93198586,41.45018005
108,60.00374603,42.24482727,61.02624893,42.4957695,58.24033737,42.39671707
109,45.00280762,37.29067993,45.76968765,37.51978302,43.68024826,37.41954803
110,52.28346252,39.12050247,53.08252716,39.60491562,40.21786118,39.38592911
111,36.63847351,47.96073914,39.16749191,48.52970505,35.18466949,48.18461227
112,10.15288734,48.39301682,11.32133007,48.88373947,8.639101982,48.65813065
113,81.22234344,37.27324677,105.7099304,37.61844635,91.07855225,37.42811584
114,112.5306549,34.22758484,138.2063599,34.60528564,126.6335678,34.44729614
115,96.88523102,33.7301712,114.5895233,34.01108932,90.26432037,33.91862488
116,12.39012623,43.14569473,16.17028999,43.49617767,13.98981285,43.30411148
117,3.789315224,28.13671303,4.586781502,28.20171165,3.844646692,28.14471817
118,17.72712898,23.57572174,21.60416985,23.63587761,18.36938858,23.58065796
119,5.960887909,25.4043045,13.43069267,25.68425369,9.973162651,25.50805092
120,62.41630173,35.04798889,67.46781158,35.50325775,60.97562408,35.26533508
121,41.74119568,53.47859955,41.47221756,54.33001709,38.14713669,53.86830902
122,36.98407364,50.35516357,45.36911392,51.79683685,40.14342499,51.04322052
123,27.09132767,51.13641739,26.14989471,52.38961029,24.48168373,51.77874374
124,32.86362076,40.92043686,36.09309006,41.38098907,33.14548111,41.14133072
125,11.1962719,30.30602646,13.47455215,30.81270599,11.92587757,30.58746719
126,11.81682014,38.79866028,14.64117813,39.34696579,12.72664928,39.08053207
127,67.09565735,50.35235977,64.76249695,51.56121063,60.38788605,50.9751091
128,12.65654659,51.17757797,15.2139473,52.66579819,13.38113785,51.91191483
129,8.114861488,32.79140854,8.850923538,33.61723328,8.217977524,33.28083801
130,15.60407543,36.98664093,16.8669529,37.48777771,15.24390602,37.25627899
131,12.76340199,44.4799118,12.10000324,45.68347931,11.15349865,45.09911346
132,39.4678688,49.65172958,48.47568893,50.25479126,42.43967056,50.07909775
133,103.9510727,54.07652283,110.775177,54.86157227,97.81291962,54.4890213
134,58.85333633,32.83860016,62.87070465,33.39842606,53.83338928,33.07695389
