Description,Code,AM Observed,MD Observed,
28 S 12TH ST,PT,196.3636364,196.3636364,
41 PORTLAND AVE,PT,182.0454545,182.0454545,
42 MCKINLEY AVE,PT,150.1818182,150.1818182,
45 YAKIMA,PT,195.9090909,195.9090909,
48 SHERIDAN-M ST,PT,280.4545455,280.4545455,
51 TCC-TCOMA MALL,PT,69.22727273,69.22727273,
52 TCC-TCOMA MALL,PT,226.0909091,226.0909091,
53 UNIVERSITY PLC,PT,307.9545455,307.9545455,
54 38TH ST,PT,139.3636364,139.3636364,
55 Tacoma Mall-Pa,PT,209.7272727,209.7272727,
56 56TH ST,PT,110.0909091,110.0909091,
57 Tacoma Mall,PT,164.8636364,164.8636364,
59 MANITOU,PT,35.54545455,35.54545455,
60  Port of Tacom,PT,12,12,
61 Northeast Taco,PT,54.72727273,54.72727273,
100  Gig Harbor,PT,110.1818182,110.1818182,
102 GIG HR-TAC EX,PT,89.59090909,89.59090909,
113 Key Peninsula,PT,5.454545455,5.454545455,
202 72ND STREET,PT,302.6363636,302.6363636,
204 Lakewood-Park,PT,305.7272727,305.7272727,
206 Pacific Hwy-T,PT,164.8181818,164.8181818,
207 Ft Lewis,PT,29.04545455,29.04545455,
212 STEILACOOM,PT,138.0909091,138.0909091,
214 WASHINGTON,PT,226.2272727,226.2272727,
220 ORCHARD,PT,82.09090909,82.09090909,
300 SO TACOMA WAY,PT,151.6818182,151.6818182,
402 MERIDIAN,PT,275.5909091,275.5909091,
406 BUCKLEY,PT,10.13636364,10.13636364,
407 Bonney Lake-P,PT,4.636363636,4.636363636,
408 Sumner to Bon,PT,21.22727273,21.22727273,
409 Puyallup-Sumn,PT,110.2272727,110.2272727,
410 112TH STREET,PT,226.6818182,226.6818182,
413 Wildwood,PT,41.40909091,41.40909091,
444  Parkland-Spa,PT,13.27272727,13.27272727,
446 Canyon Rd Shill  ,PT,5.681818182,5.681818182,
490 South Hill-Ta,PT,75.68181818,75.68181818,
495 SO HILL-PUYLP,PT,59.54545455,59.54545455,
496 Sumner Sounde,PT,84.72727273,84.72727273,
497 Lakeland Hill,PT,54.31818182,54.31818182,
500 Federal Way,PT,194.4090909,194.4090909,
501 Milton-Federa,PT,158.8636364,158.8636364,
601 OL-512-TCC-GH,PT,37.31818182,37.31818182,
603 OLY-SR512-TAC,PT,62.22727273,62.22727273,
101 MAR PR-AUR VL,CT,326.7839449,326.7839449,
105 Bothell-Marin,CT,245.1833695,245.1833695,
106 Bothell-Marin,CT,19.25737118,19.25737118,
110 LYNWD TC-EDMD,CT,107.8278099,107.8278099,
112 EDM CC-MKLTEO,CT,248.2038287,248.2038287,
113 LynwdTC-Mukil,CT,176.1706612,176.1706612,
115 EDMDS-MILL CK,CT,318.6798,318.6798,
116 EDM-ECC-SL FR,CT,250.3488438,250.3488438,
118 AUR VL-ASH WY,CT,258.6154939,258.6154939,
119 LYN TC-MEDWDL,CT,63.85509363,63.85509363,
120 Bothell-Lynwo,CT,8.38499762,8.38499762,
121 LYN TC-UW BTH,CT,147.3119743,147.3119743,
130 LYN TC-AUR VL,CT,130.4110119,130.4110119,
131 EDM CC-AUR VL,CT,114.8319347,114.8319347,
190 MUKLTO-EDM CC,CT,62.73911986,62.73911986,
200 ARLNGTN-EV ST,CT,134.5190464,134.5190464,
201 SMK PT-LYN TC,CT,269.7019141,269.7019141,
202 ARLNGTN-EV ST,CT,135.4147917,135.4147917,
207 Smokey Rt Mysvil-Boe,CT,,,
221 QL CDA-LK STV,CT,49.91916487,49.91916487,
222 TulalipBay-Ma,CT,41.21648399,41.21648399,
227 Arlington-Mville,CT,,,
230 DRNGTN-SMK PT,CT,20.24652395,20.24652395,
240 STNWD-ARLNGTN,CT,54.3475789,54.3475789,
247 Stanwd-Marysville,CT,,,
270 EVRT-GOLD BAR,CT,128.4104437,128.4104437,
271 Everett-Gold Bar,CT,,,
275 MONR-EVT STN ,CT,74.82153559,74.82153559,
277 Gold Bar-Everett,CT,,,
280 GRAN FLLS-EVT,CT,86.79957259,86.79957259,
401 Lynwood-Seatt,CT,252.8636192,252.8636192,
402 Lynwood-Seatt,CT,559.6818431,559.6818431,
404 Edmonds-Seatt,CT,98.54546389,98.54546389,
405 EdmondsPnR SCBD,CT,25.02767376,25.02767376,
406 SEAVIEW-SCBD ,CT,130.0201362,130.0201362,
408 MTLK TER-SCBD,CT,145.2660944,145.2660944,
410 MARNR PR-SCBD,CT,121.7737222,121.7737222,
411 S EVERTT-SCBD,CT,188.1756556,188.1756556,
412 SLVR FRS-SCBD,CT,283.5089998,283.5089998,
413 Ashway PnR SCBD,CT,115.3089631,115.3089631,
414 McCollumP&R-S,CT,,,
 415 LincolnWay-S,CT,249.9314855,249.9314855,
416 Edmonds-Seatt,CT,115.2148275,115.2148275,
417 MKLTEO-SEACBD,CT,144.7422682,144.7422682,
421 Marysville-Se,CT,129.5412353,129.5412353,
422 Stanwood-SCBD,CT,19.53005233,19.53005233,
424 SNOH-MNR-SCBD,CT,39.734462,39.734462,
425 LkStevens-Sea,CT,47.13870306,47.13870306,
435 MaysPond-Seat,CT,144.2638433,144.2638433,
441 EdmDsP&R-Ovrl,CT,35.31598367,35.31598367,
477 Brier-Seattle,CT,103.1818,103.1818,
701 Swift-Aurora-Everett#N/A,CT,534.0309947,534.0309947,
810 McCollum PnR Udist,CT,,,
812 McCollum PnR Udist,CT,82.19668185,82.19668185,
821 Marysville-UD,CT,57.2921068,57.2921068,
851 EdmdsP&R-Udis,CT,133.1786764,133.1786764,
855 LYNWOOD TC-UW,CT,280.7892829,280.7892829,
860 MARINER PR-UW,CT,163.950299,163.950299,
870 EDMONDS-UW SB,CT,122.4073096,122.4073096,
871 EDM-MTLKTR-UW,CT,19.96018116,19.96018116,
880 MUKILTEO-UW S,CT,206.3096533,206.3096533,
885 Swamp Ck Udist,CT,,,
5 CEDAR HEIGHTS,KT,41,41,
8 TREMONT NB,KT,13,13,
19 SouthPark,KT,23,23,
11 Crosstown LTD,KT,203,203,
12 SILVERDLE WEST,KT,46,46,
13 PARKWOOD E LTD,KT,95,95,
15 MCWLIAMS-SHTTL,KT,58,58,
17 KITSP MALL LTD,KT,49,49,
19 CRSSROADS SHTL,KT,56,56,
20 NAVY YARD CITY,KT,72,72,
21 PERRY AVENUE,KT,46,46,
22 GATEWAY EXPRSS,KT,57,57,
23 KARIOTS/TRCYTN,KT,5,5,
24 OLYMPIC COLLEG,KT,66,66,
25 EAST PARK,KT,60,60,
26 WEST PARK,KT,38,38,
29 TRENTON AVENUE,KT,37,37,
32Pouls-Silverdal,KT,28,28,
33 SILVRDL-BNBRDG,KT,35,35,
34 BANGOR SHUTTLE,KT,24,24,
35 OldTownShuttle,KT,9,9,
36 RIDGETOP SHTTL,KT,11,11,
37 FAIRGRNDS SHTL,KT,17,17,
41 LINCOLN DRIVE,KT,8,8,
43 Viking Ave,KT,0,0,
81 ANNAPOLIS CMTR,KT,60,60,
85 MULLENIX EXPRS,KT,6,6,
86 SOUTHWRTH SHTL,KT,54,54,
90 POULS TC-BAINB,KT,189,189,
91 INDIANOLA-BAIN,KT,106,106,
92 POUL-SUQ-KNGST,KT,4,4,
93 MANZANITA,KT,41,41,
94 AGATE POINT,KT,26,26,
95 BATTLE POINT,KT,50,50,
96 SUNRISE,KT,30,30,
97 CRYSTAL SPRNGS,KT,42,42,
98 FORT WARD,KT,27,27,
99 BILL POINT,KT,30,30,
106 ARROW POINT,KT,22,22,
WD200 Bethel Burley,KT,20.27272727,20.27272727,
WD01 BURLEY BUS,KT,28.40909091,28.40909091,
WD02 GLENWOOD,KT,30.27272727,30.27272727,
WD03 HORSESHOE LK,KT,21.86363636,21.86363636,
WD04 LONG LAKE DY,KT,32.77272727,32.77272727,
WD05 MANCHSTR BCH,KT,33.63636364,33.63636364,
WD06 MILE HILL EX,KT,31.18181818,31.18181818,
WD07 SALMONBERRY,KT,27.40909091,27.40909091,
WD08 PARKWOOD,KT,26.40909091,26.40909091,
WD09 PHLIP/BIELMR,KT,33.5,33.5,
WD10 PONDEROSA,KT,25.68181818,25.68181818,
WD11 SIDNEY WOODS,KT,23.54545455,23.54545455,
WD12 SOUTHWORTH,KT,25.63636364,25.63636364,
WD13 SUNNYSLOPE,KT,28,28,
WD14 CAMP UNION,KT,35.22727273,35.22727273,
WD15 CENT VL LOOP,KT,32.04545455,32.04545455,
WD16 FRGRND OVRLD,KT,25.59090909,25.59090909,
WD17 FOSTERWOOD,KT,27.68181818,27.68181818,
WD18 ILLAHEE,KT,30,30,
WD19 PRKWOOD EAST,KT,28.40909091,28.40909091,
WD20 RIDGE RUNNER,KT,35.86363636,35.86363636,
WD21 SEABECK,KT,34.86363636,34.86363636,
WD22 WOODMERE,KT,30.45454545,30.45454545,
WD23 KINGSTON,KT,30.13636364,30.13636364,
WD24 PORT GAMBLE,KT,31.59090909,31.59090909,
WD25 SUQUAMISH,KT,32.27272727,32.27272727,
WD27 Port Orch-Bangor,KT,16.72727273,16.72727273,
WD 28 Olympic Fjord,KT,15.95454545,15.95454545,
510 Everett-Seatt,MK,770.4673873,770.4673873,
511 ASH WY-SEACBD,MK,825.7995128,825.7995128,
513 Everett-SCBD,MK,,,
522 WOODNV-SEACBD,MK,811.5,811.5,
532 BELVUE-EVERTT,MK,356.5875831,356.5875831,
535 BELV-LYNNWOOD,MK,419.7850604,419.7850604,
540 REDMOND-UW WB,MK,334.8,334.8,
545 RED-SCBD-HLGT,MK,1801.2,1801.2,
550 BELLVU-SEACBD,MK,1999.2,1999.2,
554 ISSAQ-SEA CBD,MK,388.2,388.2,
555 ISSAQ-BTC-NGT,MK,205.4,205.4,
556 ISSAQ-BTC-NGT,MK,260.3,260.3,
560 BEL-STAC-WSEA,MK,375.2,375.2,
566 ISSAQ-NGATE E,MK,666.2,666.2,
574 Lakewood-Seat,PT,667.9431512,667.9431512,
577 FED WY-SEACBD,MK,505.1,505.1,
578 Seattle-Puyal,PT,250.8298135,250.8298135,
586 Tacoma-UDistr,ST,128.4923817,128.4923817,
590 Tacoma-Seattl,ST,476.9649193,476.9649193,
592 Tacoma-Seattl,ST,228.9191907,228.9191907,
593 Tacoma-SCBD,ST,,,
594 Lakewood-Seat,ST,483.007507,483.007507,
595 GigHarbor-Sea,ST,134,134,
599 LAKEWD-TAC EX,ST,20.8868786,20.8868786,
2 BOEING-WALNUT S,ET,54.59090909,54.59090909,
3 W Casino Rd-Evr,ET,73.31818182,73.31818182,
4 N Everett Circu,ET,30.90909091,30.90909091,
5 Everett Circ SB,ET,24.63636364,24.63636364,
7 EVERGRN-N COLBY,ET,267.7272727,267.7272727,
8 MERRIL CK-EV ST,ET,94.36363636,94.36363636,
9 AIRPORT RD-EVCC,ET,387.4545455,387.4545455,
12 Mall Circl,ET,22.54545455,22.54545455,
14 Mall Circl,ET,18.18181818,18.18181818,
17 Mall Statn NB,ET,50,50,
18 Mukilteo-Evert,ET,78.40909091,78.40909091,
25 Everett Circl,ET,23.59090909,23.59090909,
27 Murphys Conr-M,ET,14,14,
29 Mall Sta - Col,ET,189.6363636,189.6363636,
70 Mukilteo to Bo,ET,57.45454545,57.45454545,
79 Everett-Marysville,ET,19.04545455,19.04545455,
701 Mall Station,ET,1.136363636,1.136363636,
702 Everett Station,ET,2.227272727,2.227272727,
CR Tacoma-Seattle S,ST,4127.568182,4127.568182,
CR Everett-Seattle N,ST,548.7272727,548.7272727,
LR Seattle-SeaTac,ST,2840,2840,
LR Tacoma,ST,552.41,552.41,
SC Monorail,SC,1596,1596,
Vashon FF,WF,260,260,
Ft Fer Brem-Pt Or,KT,393.99,393.99,
Ft Fer Brem-Annap,KT,164.91,164.91,
WSF Edmnds-Kngstn,WF,43,43,
WSF Fauntlr-Vashn,WF,,,
WSF Fauntlr-Swrth,WF,,,
WSF Pt Defi-Tahlq,WF,16,16,
WSF Sea-Bainb Is,WF,594,594,
WSF Sea-Bremerton ,WF,195,195,
Vashon FF,WF,,,
WSF Vashn-Sthwrth,WF,,,
