,i,j,ij_id,CountID,Location,LocationDetail,FacilityType,observedTot,observedMed,observedHvy,LARGE_AREA,county,lat,lon
195,181956,182472,181956-182472,85,008 AV S,S/O SR-702,6,132,107,25,Pierce Other,Pierce,46.91852433,-122.4431691
196,182472,181956,182472-181956,85,008 AV S,S/O SR-702,6,132,107,25,Pierce Other,Pierce,46.91852433,-122.4431691
197,176957,177453,176957-177453,86,038 AV E,S/O 192 ST E (EAST LEG),3,281,247,34,Pierce Other,Pierce,47.07849557,-122.3764335
198,177453,176957,177453-176957,86,038 AV E,S/O 192 ST E (EAST LEG),3,281,247,34,Pierce Other,Pierce,47.07849557,-122.3764335
199,160057,160392,160057-160392,87,072 ST E,W/O PIONEER WY E,3,390,335,55,Pierce Other,Pierce,47.19211526,-122.341759
200,160392,160057,160392-160057,87,072 ST E,W/O PIONEER WY E,3,390,335,55,Pierce Other,Pierce,47.19211526,-122.341759
201,160128,160153,160128-160153,88,072 ST E ,W/O WALLER RD E,3,655.6666667,511,145,Pierce Other,Pierce,47.19174439,-122.3933109
202,160128,160153,160128-160153,88,072 ST E ,W/O WALLER RD E,3,655.6666667,511,145,Pierce Other,Pierce,47.19173872,-122.3976719
203,160128,160153,160128-160153,88,072 ST E ,W/O WALLER RD E,3,655.6666667,511,145,Tacoma,Pierce,47.19174439,-122.3933109
204,160128,160153,160128-160153,88,072 ST E ,W/O WALLER RD E,3,655.6666667,511,145,Tacoma,Pierce,47.19173872,-122.3976719
205,160153,160128,160153-160128,88,072 ST E ,W/O WALLER RD E,3,655.6666667,511,145,Pierce Other,Pierce,47.19174439,-122.3933109
206,160153,160128,160153-160128,88,072 ST E ,W/O WALLER RD E,3,655.6666667,511,145,Pierce Other,Pierce,47.19173872,-122.3976719
207,160153,160128,160153-160128,88,072 ST E ,W/O WALLER RD E,3,655.6666667,511,145,Tacoma,Pierce,47.19174439,-122.3933109
208,160153,160128,160153-160128,88,072 ST E ,W/O WALLER RD E,3,655.6666667,511,145,Tacoma,Pierce,47.19173872,-122.3976719
209,162179,162214,162179-162214,89,084 ST E,W/O CANYON RD E,3,215.75,190,26,Pierce Other,Pierce,47.18086944,-122.3655037
210,162214,162179,162214-162179,89,084 ST E,W/O CANYON RD E,3,215.75,190,26,Pierce Other,Pierce,47.18086944,-122.3655037
211,168709,168992,168709-168992,90,094 AV E,N/O 122 ST E,3,1146,718,428,Pierce Other,Pierce,47.14845287,-122.3039944
212,168992,168709,168992-168709,90,094 AV E,N/O 122 ST E,3,1146,718,428,Pierce Other,Pierce,47.14845287,-122.3039944
213,168992,170071,168992-170071,91,094 AV E,N/O 128 ST E,3,1061.5,986,76,Pierce Other,Pierce,47.14426025,-122.3040111
214,170071,168992,170071-168992,91,094 AV E,N/O 128 ST E,3,1061.5,986,76,Pierce Other,Pierce,47.14426025,-122.3040111
215,165855,165885,165855-165885,92,104 ST E ,E/O WALLER RD E,3,212,192,20,Pierce Other,Pierce,47.16222638,-122.3925062
216,165885,165855,165885-165855,92,104 ST E ,E/O WALLER RD E,3,212,192,20,Pierce Other,Pierce,47.16222638,-122.3925062
217,167622,167701,167622-167701,93,112 ST E,E/O CANYON RD E,3,966.5,864,103,Pierce Other,Pierce,47.15457926,-122.3519741
218,167701,167622,167701-167622,93,112 ST E,E/O CANYON RD E,3,966.5,864,103,Pierce Other,Pierce,47.15457926,-122.3519741
219,167312,167331,167312-167331,94,112 ST E ,E/O A ST S,3,759,605,154,Pierce Other,Pierce,47.15535793,-122.4288646
220,167331,167312,167331-167312,94,112 ST E ,E/O A ST S,3,759,605,154,Pierce Other,Pierce,47.15535793,-122.4288646
221,167516,167547,167516-167547,95,112 ST E ,E/O WALLER RD E,3,921.5,735,187,Pierce Other,Pierce,47.15483556,-122.3835493
222,167547,167516,167547-167516,95,112 ST E ,E/O WALLER RD E,3,921.5,735,187,Pierce Other,Pierce,47.15483556,-122.3835493
223,167117,167182,167117-167182,96,112 ST S,E/O STEELE ST S,3,379,320,60,Pierce Other,Pierce,47.15576658,-122.4641699
224,167182,167117,167182-167117,96,112 ST S,E/O STEELE ST S,3,379,320,60,Pierce Other,Pierce,47.15576658,-122.4641699
225,174074,174503,174074-174503,97,122 AV E,S/0 160 ST CT E,3,474,448,26,Pierce Other,Pierce,47.10909905,-122.2667153
226,174503,174074,174503-174074,97,122 AV E,S/0 160 ST CT E,3,474,448,26,Pierce Other,Pierce,47.10909905,-122.2667153
227,173192,174074,173192-174074,98,122 AV E,S/O 152 ST E,3,987,908,79,Pierce Other,Pierce,47.11430676,-122.2667053
228,174074,173192,174074-173192,98,122 AV E,S/O 152 ST E,3,987,908,79,Pierce Other,Pierce,47.11430676,-122.2667053
229,170102,170132,170102-170132,99,128 ST E,E/O CANYON RD E,3,646.5,597,50,Pierce Other,Pierce,47.13999249,-122.3520527
230,170132,170102,170132-170102,99,128 ST E,E/O CANYON RD E,3,646.5,597,50,Pierce Other,Pierce,47.13999249,-122.3520527
231,169872,169956,169872-169956,100,128 ST E,E/O GOLDEN GIVEN RD E,3,174,166,8,Pierce Other,Pierce,47.14056148,-122.4081801
232,169956,169872,169956-169872,100,128 ST E,E/O GOLDEN GIVEN RD E,3,174,166,8,Pierce Other,Pierce,47.14056148,-122.4081801
233,172091,172106,172091-172106,101,144 ST E,E/O 94 AV E,3,297,271,26,Pierce Other,Pierce,47.12566173,-122.3000587
234,172106,172091,172106-172091,101,144 ST E,E/O 94 AV E,3,297,271,26,Pierce Other,Pierce,47.12566173,-122.3000587
235,172072,172091,172072-172091,102,144 ST E,W/O 94 AV E,3,302,275,27,Pierce Other,Pierce,47.12567096,-122.3093998
236,172091,172072,172091-172072,102,144 ST E,W/O 94 AV E,3,302,275,27,Pierce Other,Pierce,47.12567096,-122.3093998
237,173089,173112,173089-173112,103,152 ST E,E/O 110 AV E,3,449.6666667,418,32,Pierce Other,Pierce,47.11840244,-122.2772694
238,173112,173089,173112-173089,103,152 ST E,E/O 110 AV E,3,449.6666667,418,32,Pierce Other,Pierce,47.11840244,-122.2772694
239,173052,173068,173052-173068,104,152 ST E,E/O 94 AV E,3,516,449,67,Pierce Other,Pierce,47.11838021,-122.3010177
240,173068,173052,173068-173052,104,152 ST E,E/O 94 AV E,3,516,449,67,Pierce Other,Pierce,47.11838021,-122.3010177
241,173972,173981,173972-173981,105,160 ST E,W/O GEM HEIGHTS DR E,3,910.5,806,105,Pierce Other,Pierce,47.11109806,-122.3099294
242,173981,173972,173981-173972,105,160 ST E,W/O GEM HEIGHTS DR E,3,910.5,806,105,Pierce Other,Pierce,47.11109806,-122.3099294
243,175779,175787,175779-175787,106,176 ST E,E/O 78 AV E,3,1740,1081,659,Pierce Other,Pierce,47.0964446,-122.3225576
244,175787,175779,175787-175779,106,176 ST E,E/O 78 AV E,3,1740,1081,659,Pierce Other,Pierce,47.0964446,-122.3225576
245,175740,175757,175740-175757,107,176 ST E,E/O CANYON RD E,3,2158,1406,752,Pierce Other,Pierce,47.09646389,-122.346781
246,175757,175740,175757-175740,107,176 ST E,E/O CANYON RD E,3,2158,1406,752,Pierce Other,Pierce,47.09646389,-122.346781
247,175658,175686,175658-175686,108,176 ST E,E/O WALLER RD E,3,1551,1225,326,Pierce Other,Pierce,47.09670032,-122.3851038
