index,PSRC_Rte_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
48,1066,2,0,0,0,52,169,400,300,155,138,134,108,143,215,301,330,234,94,123,90,46,20,25,14
49,1067,0,0,0,0,0,53,151,134,98,95,89,104,93,104,113,150,276,102,95,71,68,0,0,0
50,1068,0,0,0,0,0,113,118,226,169,172,188,203,166,199,216,203,160,32,0,0,0,0,0,0
51,1070,0,0,0,0,35,174,444,448,342,227,233,279,266,342,448,626,445,274,64,0,0,0,0,0
52,1071,0,0,0,25,77,168,309,348,278,258,287,291,292,416,362,392,343,279,267,278,246,182,101,74
53,1072,37,0,0,17,173,192,317,346,158,348,310,316,296,336,330,392,285,297,169,164,133,104,67,34
54,1073,8,0,0,36,80,170,374,393,361,350,310,491,469,565,492,477,393,285,395,169,89,99,66,11
55,1074,0,0,0,0,0,98,199,193,123,0,0,0,0,0,138,188,268,166,0,0,0,0,0,0
56,1075,0,0,0,0,76,232,391,281,235,212,172,187,193,354,374,376,359,359,158,167,110,83,58,24
57,1076,0,0,0,0,28,107,354,92,0,0,0,0,0,0,52,194,229,46,0,0,0,0,0,0
58,1077,0,0,0,0,34,177,281,79,0,0,0,0,0,0,45,181,180,47,0,0,0,0,0,0
59,1082,0,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,1083,0,18,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1084,0,14,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,1099,0,0,0,0,0,23,87,43,17,0,0,0,0,25,49,62,39,12,0,0,0,0,0,0
63,1101,0,0,0,61,161,427,334,253,251,238,241,244,238,319,541,426,400,316,177,126,121,49,0,0
64,1102,0,0,0,67,121,134,69,0,0,0,0,0,0,0,69,224,199,0,0,0,0,0,0,0
65,1105,0,0,0,9,40,44,73,53,57,54,65,61,64,94,81,81,78,67,50,52,41,21,17,0
66,1106,12,0,0,67,185,359,354,302,233,214,220,242,315,479,434,433,422,169,186,155,136,127,77,20
67,1107,0,0,0,12,44,94,99,50,66,65,72,75,81,106,140,136,120,90,86,55,47,23,17,7
68,1110,0,0,0,0,14,26,27,5,0,0,0,0,0,12,31,24,5,0,0,0,0,0,0,0
69,1111,0,0,0,0,116,212,115,0,0,0,0,0,0,0,128,170,133,0,0,0,0,0,0,0
70,1113,0,0,0,0,32,40,74,22,0,0,0,0,0,0,0,61,64,0,0,0,0,0,0,0
71,1114,0,0,0,0,27,65,88,0,0,0,0,0,0,0,0,78,63,0,0,0,0,0,0,0
72,1116,0,0,0,0,71,102,110,30,0,0,0,0,0,0,69,103,23,0,0,0,0,0,0,0
73,1118,0,0,0,7,39,84,39,75,12,18,11,0,42,33,11,92,82,12,55,4,5,0,0,0
74,1119,0,0,0,0,9,52,17,28,5,0,0,17,7,0,10,51,33,5,0,0,0,0,0,0
75,1120,48,31,0,61,268,683,660,477,450,439,454,513,550,712,753,795,624,452,266,238,233,161,113,56
76,1121,0,0,0,33,102,125,147,47,0,0,0,0,0,63,63,181,104,41,0,0,0,0,0,0
77,1122,0,0,0,0,44,79,90,35,0,0,0,0,30,43,59,53,74,42,0,0,0,0,0,0
78,1123,0,0,0,0,34,48,78,0,0,0,0,0,0,0,61,34,54,0,0,0,0,0,0,0
79,1124,46,50,32,82,153,319,241,204,190,179,155,162,180,241,269,248,170,109,103,91,73,45,46,45
80,1125,0,0,0,0,67,127,173,158,85,107,101,99,95,97,180,187,151,64,64,38,48,16,0,0
81,1128,0,0,0,18,53,246,309,264,237,302,297,298,296,413,390,274,245,132,161,154,90,88,71,14
82,1131,0,0,0,0,166,181,267,202,133,147,173,215,171,213,250,263,200,129,111,91,46,53,38,9
83,1132,0,0,0,31,137,270,198,140,148,141,164,170,197,211,240,273,194,131,104,91,68,46,35,30
84,1139,0,0,0,0,0,5,6,7,8,12,11,14,7,19,14,9,9,4,6,0,0,0,0,0
