TAZ,District,County,SeattleOrNot
614,11,King,Seattle
615,11,King,Seattle
616,10,King,Seattle
617,10,King,Seattle
618,10,King,Seattle
619,10,King,Seattle
620,10,King,Seattle
621,10,King,Seattle
622,10,King,Seattle
623,10,King,Seattle
624,10,King,Seattle
625,10,King,Seattle
626,10,King,Seattle
627,11,King,Seattle
628,11,King,Seattle
629,11,King,Seattle
630,10,King,Seattle
631,11,King,Seattle
632,11,King,Seattle
633,10,King,Seattle
634,10,King,Seattle
635,10,King,Seattle
636,10,King,Seattle
637,10,King,Seattle
638,10,King,Seattle
639,10,King,Seattle
640,10,King,Seattle
641,10,King,Seattle
642,10,King,Seattle
643,10,King,Seattle
644,10,King,Seattle
645,10,King,Seattle
646,10,King,Seattle
647,10,King,Seattle
648,10,King,Seattle
649,10,King,Seattle
650,10,King,Seattle
651,10,King,Seattle
652,10,King,Seattle
653,10,King,Seattle
654,10,King,Seattle
655,10,King,Seattle
656,10,King,Seattle
657,10,King,Seattle
658,10,King,Seattle
659,10,King,Seattle
660,10,King,Seattle
661,10,King,Seattle
662,10,King,Seattle
663,10,King,Seattle
664,10,King,Seattle
665,10,King,Seattle
666,10,King,Seattle
667,10,King,Seattle
668,10,King,Seattle
669,10,King,Seattle
670,10,King,Seattle
671,10,King,Seattle
672,10,King,Seattle
673,10,King,Seattle
674,10,King,Seattle
675,10,King,Seattle
676,10,King,Seattle
677,10,King,Seattle
678,10,King,Seattle
679,10,King,Seattle
680,10,King,Seattle
681,10,King,Seattle
682,10,King,Seattle
683,10,King,Seattle
684,10,King,Seattle
685,10,King,Seattle
686,10,King,Seattle
687,10,King,Seattle
688,10,King,Seattle
689,10,King,Seattle
690,10,King,Seattle
691,10,King,Seattle
692,10,King,Seattle
693,10,King,Seattle
694,10,King,Seattle
695,10,King,Seattle
696,10,King,Seattle
697,10,King,Seattle
698,10,King,Seattle
699,10,King,Seattle
700,10,King,Seattle
701,10,King,Seattle
702,10,King,Seattle
703,10,King,Seattle
704,10,King,Seattle
705,10,King,Seattle
706,10,King,Seattle
707,10,King,Seattle
708,10,King,Seattle
709,10,King,Seattle
710,10,King,Seattle
711,10,King,Seattle
712,10,King,Seattle
713,10,King,Seattle
714,10,King,Seattle
715,10,King,Seattle
716,10,King,Seattle
717,10,King,Seattle
718,10,King,Seattle
719,10,King,Seattle
720,10,King,Seattle
721,10,King,Seattle
722,10,King,Seattle
723,10,King,Seattle
724,10,King,Seattle
725,10,King,Seattle
726,10,King,Seattle
727,10,King,Seattle
