coefficient_name,value,constrain
drive_transit_ASC_auto_sufficient_school,-25.72085127,F
drive_transit_ASC_auto_sufficient_shopping,-20.701490193232395,F
drive_transit_ASC_auto_sufficient_social,-2.647421840482869,F
drive_transit_ASC_auto_sufficient_univ,-2.7154942104800077,F
drive_transit_ASC_auto_sufficient_work,-4.605336658700908,F
drive_transit_ASC_auto_sufficient_atwork,0.299432552,F
taxi_ASC_no_auto_eatout_othdiscr_social,0.0,F
taxi_ASC_no_auto_escort_othmaint_shopping,0.0,F
taxi_ASC_no_auto_school_univ,0.0,F
taxi_ASC_no_auto_work,0.0,F
taxi_ASC_no_auto_atwork,0.0,F
taxi_ASC_auto_deficient_eatout_othdiscr_social,0.0,F
taxi_ASC_auto_deficient_escort_othmaint_shopping,0.0,F
taxi_ASC_auto_deficient_school,0.0,F
taxi_ASC_auto_deficient_univ,0.0,F
taxi_ASC_auto_deficient_work,0.0,F
taxi_ASC_auto_deficient_atwork,0.0,F
taxi_ASC_auto_sufficient_eatout_othdiscr_social,0.0,F
taxi_ASC_auto_sufficient_escort_othmaint_shopping,0.0,F
taxi_ASC_auto_sufficient_school,0.0,F
taxi_ASC_auto_sufficient_univ,0.0,F
taxi_ASC_auto_sufficient_work,0.0,F
taxi_ASC_auto_sufficient_atwork,0.0,F
tnc_single_ASC_no_auto_eatout_othdiscr_social,3.987083063981834,F
tnc_single_ASC_no_auto_escort_othmaint_shopping,4.969449391413361,F
tnc_single_ASC_no_auto_school,0.0,T
tnc_single_ASC_no_auto_univ,3.875664372523584,F
tnc_single_ASC_no_auto_work,4.219545579554041,F
tnc_single_ASC_no_auto_atwork,-13.550179785101925,F
tnc_single_ASC_auto_deficient_eatout_othdiscr_social,0.8108585554710488,F
tnc_single_ASC_auto_deficient_escort_othmaint_shopping,-1.888163768051832,F
tnc_single_ASC_auto_deficient_school,0.0,T
tnc_single_ASC_auto_deficient_univ,2.3082507322851273,F
tnc_single_ASC_auto_deficient_work,-0.29110927760846916,F
tnc_single_ASC_auto_deficient_atwork,-30.64114412727434,F
tnc_single_ASC_auto_sufficient_eatout_othdiscr_social,0.04115533306561222,F
tnc_single_ASC_auto_sufficient_escort_othmaint_shopping,-1.8991749724482325,F
tnc_single_ASC_auto_sufficient_school,0.0,T
tnc_single_ASC_auto_sufficient_univ,-0.7578982734389599,F
tnc_single_ASC_auto_sufficient_work,-1.4624485743872586,F
tnc_single_ASC_auto_sufficient_atwork,-3.410405881417544,F
tnc_shared_ASC_no_auto_eatout_othdiscr_social,0.0,F
tnc_shared_ASC_no_auto_escort_othmaint_shopping,0.0,F
tnc_shared_ASC_no_auto_school,0.0,F
tnc_shared_ASC_no_auto_univ,0.0,F
tnc_shared_ASC_no_auto_work,0.0,F
tnc_shared_ASC_no_auto_atwork,0.0,F
tnc_shared_ASC_auto_deficient_eatout_othdiscr_social,0.0,F
tnc_shared_ASC_auto_deficient_escort_othmaint_shopping,0.0,F
tnc_shared_ASC_auto_deficient_school,0.0,F
tnc_shared_ASC_auto_deficient_univ,0.0,F
tnc_shared_ASC_auto_deficient_work,0.0,F
tnc_shared_ASC_auto_deficient_atwork,0.0,F
tnc_shared_ASC_auto_sufficient_eatout_othdiscr_social,0.0,F
tnc_shared_ASC_auto_sufficient_escort_othmaint_shopping,0.0,F
tnc_shared_ASC_auto_sufficient_school,0.0,F
tnc_shared_ASC_auto_sufficient_univ,0.0,F
tnc_shared_ASC_auto_sufficient_work,0.0,F
tnc_shared_ASC_auto_sufficient_atwork,0.0,F
