Label,Description,Expression,cars0,cars1,cars2,cars3,cars4
util_nonmand_logsum_auto_def_2_driver,Average non-mandatory disaggrage accessibility -- autos deficient 2 drivers,(shopping_accessibility_1 + othdiscr_accessibility_1) / 2 * (num_drivers == 2),,coef_nonmand_logsum_auto_def_driver,,,
util_nonmand_logsum_auto_def_3_driver,Average non-mandatory disaggrage accessibility -- autos deficient 3 drivers,(shopping_accessibility_1 + othdiscr_accessibility_1) / 2 * (num_drivers == 3),,coef_nonmand_logsum_auto_def_driver,coef_nonmand_logsum_auto_def_driver,,
util_nonmand_logsum_auto_def_4p_driver,Average non-mandatory disaggrage accessibility -- autos deficient 4+ drivers,(shopping_accessibility_1 + othdiscr_accessibility_1) / 2 * (num_drivers >= 4),,coef_nonmand_logsum_auto_def_driver,coef_nonmand_logsum_auto_def_driver,coef_nonmand_logsum_auto_def_driver,
util_nonmand_logsum_auto_suff_1_driver,Average non-mandatory disaggrage accessibility -- auto sufficient 1 driver,(shopping_accessibility_2 + othdiscr_accessibility_2) / 2 * (num_drivers == 1),,coef_nonmand_logsum_auto_suff_driver,coef_nonmand_logsum_auto_suff_driver,coef_nonmand_logsum_auto_suff_driver,coef_nonmand_logsum_auto_suff_driver
util_nonmand_logsum_auto_suff_2_driver,Average non-mandatory disaggrage accessibility -- auto sufficient 2 drivers,(shopping_accessibility_2 + othdiscr_accessibility_2) / 2 * (num_drivers == 2),,,coef_nonmand_logsum_auto_suff_driver,coef_nonmand_logsum_auto_suff_driver,coef_nonmand_logsum_auto_suff_driver
util_nonmand_logsum_auto_suff_3_driver,Average non-mandatory disaggrage accessibility -- auto sufficient 3 drivers,(shopping_accessibility_2 + othdiscr_accessibility_2) / 2 * (num_drivers == 3),,,,coef_nonmand_logsum_auto_suff_driver,coef_nonmand_logsum_auto_suff_driver
util_nonmand_logsum_auto_suff_4p_driver,Average non-mandatory disaggrage accessibility -- auto sufficient 4+ drivers,(shopping_accessibility_2 + othdiscr_accessibility_2) / 2 * (num_drivers >= 4),,,,,coef_nonmand_logsum_auto_suff_driver
util_nonmand_logsum_auto_def_2_worker,Average non-mandatory disaggrage accessibility -- autos deficient 2 workers,(shopping_accessibility_1 + othdiscr_accessibility_1) / 2 * (num_workers == 2),,coef_nonmand_logsum_auto_def_worker,,,
util_nonmand_logsum_auto_def_3_worker,Average non-mandatory disaggrage accessibility -- autos deficient 3 workers,(shopping_accessibility_1 + othdiscr_accessibility_1) / 2 * (num_workers == 3),,coef_nonmand_logsum_auto_def_worker,coef_nonmand_logsum_auto_def_worker,,
util_nonmand_logsum_auto_def_4p_worker,Average non-mandatory disaggrage accessibility -- autos deficient 4+ workers,(shopping_accessibility_1 + othdiscr_accessibility_1) / 2 * (num_workers >= 4),,coef_nonmand_logsum_auto_def_worker,coef_nonmand_logsum_auto_def_worker,coef_nonmand_logsum_auto_def_worker,
util_nonmand_logsum_auto_suff_1_worker,Average non-mandatory disaggrage accessibility -- auto sufficient 1 worker,(shopping_accessibility_2 + othdiscr_accessibility_2) / 2 * (num_workers == 1),,coef_nonmand_logsum_auto_suff_worker,coef_nonmand_logsum_auto_suff_worker,coef_nonmand_logsum_auto_suff_worker,coef_nonmand_logsum_auto_suff_worker
util_nonmand_logsum_auto_suff_2_worker,Average non-mandatory disaggrage accessibility -- auto sufficient 2 workers,(shopping_accessibility_2 + othdiscr_accessibility_2) / 2 * (num_workers == 2),,,coef_nonmand_logsum_auto_suff_worker,coef_nonmand_logsum_auto_suff_worker,coef_nonmand_logsum_auto_suff_worker
util_nonmand_logsum_auto_suff_3_worker,Average non-mandatory disaggrage accessibility -- auto sufficient 3 workers,(shopping_accessibility_2 + othdiscr_accessibility_2) / 2 * (num_workers == 3),,,,coef_nonmand_logsum_auto_suff_worker,coef_nonmand_logsum_auto_suff_worker
util_nonmand_logsum_auto_suff_4p_worker,Average non-mandatory disaggrage accessibility -- auto sufficient 4+ workers,(shopping_accessibility_2 + othdiscr_accessibility_2) / 2 * (num_workers >= 4),,,,,coef_nonmand_logsum_auto_suff_worker
