vehicle_type,body_type,fuel_type,vehicle_year,NumMakes,NumModels,MPG,Range,NewPrice,auto_operating_cost,co2gpm
Car_15_PEV,Car,PEV,2011,1,1,37.0,488,20268.99,19.46,84.0
Car_16_PEV,Car,PEV,2010,0,0,28.4,375,19255.54,22.3,173.44
Car_17_PEV,Car,PEV,2009,0,0,27.8,367,18292.76,22.6,177.47
Car_18_PEV,Car,PEV,2008,0,0,27.1,358,17378.13,22.91,181.29
Car_19_PEV,Car,PEV,2007,0,0,26.9,355,16509.22,22.99,181.37
Motorcycle_0_BEV,Motorcycle,BEV,2026,0,0,0.0,0,21000.0,26.22,0.0
Motorcycle_1_BEV,Motorcycle,BEV,2025,0,0,0.0,0,19950.0,26.22,0.0
Motorcycle_2_BEV,Motorcycle,BEV,2024,0,0,0.0,0,18952.5,26.22,0.0
Motorcycle_3_BEV,Motorcycle,BEV,2023,0,0,0.0,0,18004.87,26.22,0.0
Motorcycle_4_BEV,Motorcycle,BEV,2022,0,0,0.0,0,17104.63,26.22,0.0
Motorcycle_5_BEV,Motorcycle,BEV,2021,0,0,0.0,0,16249.4,26.22,0.0
Motorcycle_6_BEV,Motorcycle,BEV,2020,0,0,0.0,0,15436.93,26.22,0.0
Motorcycle_7_BEV,Motorcycle,BEV,2019,0,0,0.0,0,14665.08,26.22,0.0
Motorcycle_8_BEV,Motorcycle,BEV,2018,0,0,0.0,0,13931.83,26.22,0.0
Motorcycle_9_BEV,Motorcycle,BEV,2017,0,0,0.0,0,13235.24,26.22,0.0
Motorcycle_10_BEV,Motorcycle,BEV,2016,0,0,0.0,0,12573.48,26.22,0.0
Motorcycle_11_BEV,Motorcycle,BEV,2015,0,0,0.0,0,11944.8,26.22,0.0
Motorcycle_12_BEV,Motorcycle,BEV,2014,0,0,0.0,0,11347.56,26.22,0.0
Motorcycle_13_BEV,Motorcycle,BEV,2013,0,0,0.0,0,10780.18,26.22,0.0
Motorcycle_14_BEV,Motorcycle,BEV,2012,0,0,0.0,0,10241.17,26.22,0.0
Motorcycle_15_BEV,Motorcycle,BEV,2011,0,0,0.0,0,9729.12,26.22,0.0
Motorcycle_16_BEV,Motorcycle,BEV,2010,0,0,0.0,0,9242.66,26.22,0.0
Motorcycle_17_BEV,Motorcycle,BEV,2009,0,0,0.0,0,8780.53,26.22,0.0
Motorcycle_18_BEV,Motorcycle,BEV,2008,0,0,0.0,0,8341.5,26.22,0.0
Motorcycle_19_BEV,Motorcycle,BEV,2007,0,0,0.0,0,7924.43,26.22,0.0
Motorcycle_0_Diesel,Motorcycle,Diesel,2026,0,0,0.0,0,16500.0,24.0,0.0
Motorcycle_1_Diesel,Motorcycle,Diesel,2025,0,0,0.0,0,15675.0,24.0,0.0
Motorcycle_2_Diesel,Motorcycle,Diesel,2024,0,0,0.0,0,14891.25,24.0,0.0
Motorcycle_3_Diesel,Motorcycle,Diesel,2023,0,0,0.0,0,14146.69,24.0,0.0
Motorcycle_4_Diesel,Motorcycle,Diesel,2022,0,0,0.0,0,13439.35,24.0,0.0
Motorcycle_5_Diesel,Motorcycle,Diesel,2021,0,0,0.0,0,12767.39,24.0,0.0
Motorcycle_6_Diesel,Motorcycle,Diesel,2020,0,0,0.0,0,12129.02,24.0,0.0
Motorcycle_7_Diesel,Motorcycle,Diesel,2019,0,0,0.0,0,11522.57,24.0,0.0
Motorcycle_8_Diesel,Motorcycle,Diesel,2018,0,0,0.0,0,10946.44,24.0,0.0
Motorcycle_9_Diesel,Motorcycle,Diesel,2017,0,0,0.0,0,10399.12,24.0,0.0
Motorcycle_10_Diesel,Motorcycle,Diesel,2016,0,0,0.0,0,9879.16,24.0,0.0
Motorcycle_11_Diesel,Motorcycle,Diesel,2015,0,0,0.0,0,9385.2,24.0,0.0
Motorcycle_12_Diesel,Motorcycle,Diesel,2014,0,0,0.0,0,8915.94,24.0,0.0
Motorcycle_13_Diesel,Motorcycle,Diesel,2013,0,0,0.0,0,8470.14,24.0,0.0
Motorcycle_14_Diesel,Motorcycle,Diesel,2012,0,0,0.0,0,8046.64,24.0,0.0
Motorcycle_15_Diesel,Motorcycle,Diesel,2011,0,0,0.0,0,7644.31,24.0,0.0
Motorcycle_16_Diesel,Motorcycle,Diesel,2010,0,0,0.0,0,7262.09,24.0,0.0
Motorcycle_17_Diesel,Motorcycle,Diesel,2009,0,0,0.0,0,6898.99,24.0,0.0
Motorcycle_18_Diesel,Motorcycle,Diesel,2008,0,0,0.0,0,6554.04,24.0,0.0
Motorcycle_19_Diesel,Motorcycle,Diesel,2007,0,0,0.0,0,6226.33,24.0,0.0
Motorcycle_0_Gas,Motorcycle,Gas,2026,0,0,0.0,0,15000.0,24.0,0.0
Motorcycle_1_Gas,Motorcycle,Gas,2025,0,0,0.0,0,14250.0,24.0,0.0
Motorcycle_2_Gas,Motorcycle,Gas,2024,0,0,0.0,0,13537.5,24.0,0.0
Motorcycle_3_Gas,Motorcycle,Gas,2023,0,0,0.0,0,12860.62,24.0,0.0
Motorcycle_4_Gas,Motorcycle,Gas,2022,0,0,0.0,0,12217.59,24.0,0.0
Motorcycle_5_Gas,Motorcycle,Gas,2021,0,0,0.0,0,11606.71,24.0,0.0
Motorcycle_6_Gas,Motorcycle,Gas,2020,0,0,0.0,0,11026.38,24.0,0.0
Motorcycle_7_Gas,Motorcycle,Gas,2019,0,0,0.0,0,10475.06,24.0,0.0
Motorcycle_8_Gas,Motorcycle,Gas,2018,0,0,0.0,0,9951.31,24.0,0.0
Motorcycle_9_Gas,Motorcycle,Gas,2017,0,0,0.0,0,9453.74,24.0,0.0
Motorcycle_10_Gas,Motorcycle,Gas,2016,0,0,0.0,0,8981.05,24.0,0.0
Motorcycle_11_Gas,Motorcycle,Gas,2015,0,0,0.0,0,8532.0,24.0,0.0
Motorcycle_12_Gas,Motorcycle,Gas,2014,0,0,0.0,0,8105.4,24.0,0.0
