CountID,CountID_Type,obs_20to5,obs_5to6,obs_6to7,obs_7to8,obs_8to9,obs_9to10,obs_10to14,obs_14to15,obs_15to16,obs_16to17,obs_17to18,obs_18to20,obs_total
11,11G,16340,1652,3217,4665,4458,3993,19976,6974,7653,7014,6625,11558,94125
96,96H,588,423,909,638,553,472,1613,458,559,600,549,623,7985
81,81H,634,872,1396,1190,789,546,1741,469,488,528,495,613,9761
75,75H,465,558,1116,984,653,446,1431,388,411,444,414,495,7805
101,101H,942,68,135,210,213,256,1944,1123,1250,1223,1117,1339,9820
138,138G,10857,2481,4019,4773,4221,3523,15927,5028,4918,4816,4492,7502,72557
107,107G,8316,827,1304,1634,1742,1971,10494,3366,3657,3736,3476,5067,45590
98,98G,7264,706,1136,1373,1448,1589,8473,2714,3017,3164,2902,4234,38020
17,17G,16449,1887,3415,4951,4939,5021,19984,5640,6194,5730,5448,10047,89705
27,27G,16389,3195,5802,6538,6594,6035,23732,5966,5624,5288,5257,10001,100421
84,84G,14643,6872,6324,5819,6091,5765,20680,5257,5221,5371,5286,7499,94828
93,93H,1006,41,138,207,195,195,1569,768,1329,1415,1336,1512,9711
29,29H,1081,55,116,165,147,170,1729,823,1044,1047,949,1198,8524
28,28G,15838,2165,3809,5060,5207,5331,20509,5653,6066,5827,5465,9550,90480
33,33G,10387,1952,3045,3181,2944,2822,12429,3486,3575,3451,3304,5863,56439
92,92G,11832,4339,4814,4151,4570,4968,19389,5463,5405,5506,5436,8495,84368
139,139G,9135,1147,1835,2418,2442,2585,13459,5006,4892,4792,4434,6592,58737
5,5G,14173,1607,3006,4291,4191,3641,17940,6042,6320,5939,5724,9944,82818
162,162G,14070,4162,5481,4475,4156,4184,19588,5564,5408,4926,4387,7913,84314
106,106G,8795,2595,3100,3257,2839,2840,12032,3096,3076,3056,2981,4530,52197
91,91H,998,468,989,916,643,485,1843,481,484,518,506,696,9027
90,90H,1190,67,187,298,272,320,1947,852,1103,1141,1038,1114,9529
103,103G,10691,2382,3894,4740,4198,3518,15755,4990,4913,4819,4509,7506,71915
87,87G,11455,6093,5416,4803,4704,4355,15898,4144,4214,4419,4386,5973,75860
114,114H,671,479,1016,721,554,489,1843,545,689,738,701,727,9173
8,8H,704,531,1382,1437,1242,860,2264,569,608,638,619,797,11651
70,70H,1426,93,223,300,301,358,2327,1011,1290,1286,1123,1409,11147
116,116H,614,442,1029,793,663,535,1637,462,563,629,577,642,8586
97,97G,10124,3901,4360,4011,3970,3957,16164,4753,5107,5155,4949,6452,72903
111,111G,12317,1873,3275,4062,3718,3277,16002,5299,5543,5532,5320,8711,74929
129,129G,15641,1980,3464,4618,4584,4801,18676,5026,5323,4791,4449,8605,81958
181,181G,16420,3098,5666,6399,6309,5783,22719,5699,5417,5161,5135,9832,97638
85,85H,1039,54,151,235,240,278,1956,1111,1469,1517,1328,1321,10699
88,88H,766,659,843,615,471,418,1662,478,519,575,546,655,8207
18,18G,16519,3218,5795,6386,6246,5813,22894,5767,5264,4672,4648,9178,96400
32,32H,1358,799,1420,1507,1387,1367,3622,950,1167,1152,1027,1376,17132
30,30G,15173,3298,5246,5891,5790,5975,21348,5437,5918,5823,5460,9364,94723
102,102H,726,415,599,486,387,382,1672,489,546,569,531,627,7429
99,99G,6227,1588,1873,1986,1817,2009,8977,2203,2194,2213,2138,3235,36460
135,135H,1230,463,1171,1116,879,664,2414,675,699,733,707,914,11665
59,59H,1402,201,394,434,417,475,2662,1001,1287,1317,1144,1446,12180
59,59G,14841,2573,4373,5091,4636,4348,19557,6128,6819,6590,5974,9190,90120
141,141G,12707,1737,3116,4326,4150,3510,16693,5382,5400,5085,4905,8781,75792
53,53H,1427,274,531,564,543,593,3074,1086,1398,1394,1215,1554,13653
53,53G,18396,3619,5742,6405,5710,5381,23150,6846,7374,6977,6413,10553,106566
67,67H,1173,492,1065,967,702,545,2152,554,551,584,584,816,10185
110,110G,13273,5943,5986,5761,4900,4483,18153,4915,4662,4749,4670,6155,83650
127,127H,664,14,65,120,117,105,1155,680,1181,1349,1281,1295,8026
66,66H,1260,95,227,299,297,354,2248,899,1191,1224,1053,1343,10490
66,66G,14943,2315,3860,4619,4412,4398,20567,6545,6754,6255,5833,9700,90201
182,182G,10168,4021,4449,4072,4036,3997,16353,4825,5241,5277,5062,6460,73961
108,108H,935,66,136,211,225,265,1912,983,1159,1153,1050,1321,9416
90,90G,13530,1879,3815,5138,4536,4239,18803,6239,6118,5635,5000,8394,83326
9,9G,11923,4624,6580,6377,6180,5964,19957,4804,4691,4516,4498,7578,87692
4,4H,721,530,1355,1320,1151,814,2206,582,634,680,664,816,11473
46,46H,3100,772,1442,1453,1319,1169,5112,1638,1661,1585,1538,2328,23117
76,76H,710,47,124,176,189,227,1480,807,1180,1196,941,899,7976
115,115G,14608,2467,3999,4984,4676,4091,19223,6235,6533,6528,6406,10373,90123
111,111H,872,51,134,204,201,213,1537,695,1085,1169,1105,1286,8552
132,132H,944,55,128,205,192,188,1504,767,999,988,924,1062,7956
28,28G,18105,2346,4334,5981,6097,6159,23190,6245,6666,6465,6244,10952,102784
31,31G,10144,1471,2392,2588,2275,2278,11811,3407,3486,3366,3190,5715,52123
13,13G,13126,3290,4972,4928,4770,4733,20240,5257,4998,4565,4528,8140,83547
140,140G,12438,2279,3768,4558,4093,3543,17020,5475,5484,5437,5200,8607,77902
9,9H,417,494,1233,1315,1156,803,1697,383,412,427,421,516,9274
25,25G,16354,3294,5936,6677,6881,6288,24744,6230,5828,5415,5378,10164,103189
105,105H,458,176,232,206,165,176,786,236,267,297,269,364,3632
162,162H,1129,335,1158,1288,1177,949,2390,834,916,991,1017,1110,13294
125,125H,935,48,141,220,219,266,1929,1100,1483,1538,1288,1232,10399
112,112H,717,525,1303,1178,981,756,2115,599,706,754,749,834,11217
96,96G,11262,4854,5648,4749,4900,4918,18483,5137,5352,5341,5163,7290,83097
138,138H,1114,64,162,244,241,274,2016,869,1197,1260,1161,1507,10109
109,109G,8575,946,1499,1830,1922,2180,11450,3738,4070,4228,3945,5578,49961
21,21G,16232,3316,5507,5359,5192,5096,22298,5516,4843,4230,4257,8956,90802
93,93G,14272,2056,3572,4829,4675,4045,19467,6264,6576,6407,6246,10465,88874
