w_geocode,Base,Zone,ParcelID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
5.30E+14,Fort Lawton,331,788128,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5.30E+14,Fort Lawton,331,788128,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5.30E+14,Fort Lawton,331,788128,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5.30E+14,Fort Lawton,331,788128,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5.30E+14,Fort Lawton,331,788128,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5.30E+14,Fort Lawton,331,788128,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5.30E+14,Fort Lawton,331,788128,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5.30E+14,Fort Lawton,331,788128,0,1,1,2,2,3,4,4,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
5.30E+14,Pier 91,390,1161163,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
5.30E+14,Pier 91,390,1161163,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
5.30E+14,Pier 91,390,1161163,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
5.30E+14,Pier 91,390,1161163,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
5.30E+14,Pier 91,390,1161163,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
5.30E+14,Pier 91,390,1161163,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
5.30E+14,Pier 91,390,1161163,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
5.30E+14,Pier 91,390,1161163,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
5.30E+14,Pier 91,390,1161163,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
5.30E+14,Pier 91,390,1161163,60,57,54,51,48,45,42,39,36,33,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Everett,2255,103640,268,265,262,259,256,254,251,248,245,242,239,238,236,235,233,232,230,229,227,226,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,Camp Murray,3061,462809,0,0,1,1,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
5.31E+14,JBLM North Fort,3070,196,28,31,34,37,40,44,47,50,53,56,59,59,59,59,59,59,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
