TAZ,TAD,OldDistric,County,District,New DistrictName
333,8,12,King,4,Seattle CBD
334,8,12,King,4,Seattle CBD
335,8,12,King,4,Seattle CBD
336,9,12,King,4,Seattle CBD
337,9,12,King,4,Seattle CBD
338,9,12,King,4,Seattle CBD
339,9,12,King,4,Seattle CBD
340,9,12,King,4,Seattle CBD
341,9,12,King,4,Seattle CBD
342,8,12,King,4,Seattle CBD
343,8,12,King,4,Seattle CBD
344,8,12,King,4,Seattle CBD
345,8,12,King,4,Seattle CBD
346,8,12,King,4,Seattle CBD
347,8,12,King,4,Seattle CBD
348,8,12,King,4,Seattle CBD
349,8,12,King,4,Seattle CBD
350,8,12,King,4,Seattle CBD
351,8,12,King,4,Seattle CBD
352,9,12,King,4,Seattle CBD
353,9,12,King,4,Seattle CBD
354,9,12,King,4,Seattle CBD
355,9,12,King,4,Seattle CBD
356,9,12,King,4,Seattle CBD
357,9,12,King,4,Seattle CBD
358,9,12,King,4,Seattle CBD
359,9,12,King,4,Seattle CBD
360,10,12,King,4,Seattle CBD
361,10,12,King,4,Seattle CBD
362,10,12,King,4,Seattle CBD
363,10,12,King,4,Seattle CBD
364,10,12,King,4,Seattle CBD
365,10,12,King,4,Seattle CBD
366,10,12,King,4,Seattle CBD
367,10,12,King,4,Seattle CBD
368,10,12,King,4,Seattle CBD
369,10,12,King,4,Seattle CBD
370,10,12,King,4,Seattle CBD
371,10,12,King,4,Seattle CBD
372,10,12,King,4,Seattle CBD
373,10,12,King,4,Seattle CBD
374,10,12,King,4,Seattle CBD
375,10,12,King,4,Seattle CBD
376,10,12,King,4,Seattle CBD
377,10,12,King,4,Seattle CBD
378,10,12,King,4,Seattle CBD
379,10,12,King,4,Seattle CBD
380,10,12,King,4,Seattle CBD
381,9,12,King,4,Seattle CBD
382,9,12,King,4,Seattle CBD
383,9,12,King,4,Seattle CBD
384,9,12,King,4,Seattle CBD
385,9,12,King,4,Seattle CBD
386,9,12,King,4,Seattle CBD
387,9,12,King,4,Seattle CBD
388,9,12,King,4,Seattle CBD
389,8,12,King,4,Seattle CBD
390,8,12,King,4,Seattle CBD
391,8,12,King,4,Seattle CBD
392,8,12,King,4,Seattle CBD
393,8,12,King,4,Seattle CBD
394,8,12,King,4,Seattle CBD
395,8,12,King,4,Seattle CBD
396,9,12,King,4,Seattle CBD
397,9,12,King,4,Seattle CBD
398,9,12,King,4,Seattle CBD
399,9,12,King,4,Seattle CBD
400,9,12,King,4,Seattle CBD
401,9,12,King,4,Seattle CBD
402,9,12,King,4,Seattle CBD
403,9,12,King,4,Seattle CBD
404,9,12,King,4,Seattle CBD
405,9,12,King,4,Seattle CBD
406,9,12,King,4,Seattle CBD
407,10,12,King,4,Seattle CBD
408,10,12,King,4,Seattle CBD
409,10,12,King,4,Seattle CBD
410,10,12,King,4,Seattle CBD
411,10,12,King,4,Seattle CBD
412,10,12,King,4,Seattle CBD
413,10,12,King,4,Seattle CBD
414,10,12,King,4,Seattle CBD
415,10,12,King,4,Seattle CBD
416,10,12,King,4,Seattle CBD
417,13,12,King,4,Seattle CBD
418,13,12,King,4,Seattle CBD
419,13,12,King,4,Seattle CBD
420,13,12,King,4,Seattle CBD
421,13,12,King,4,Seattle CBD
422,13,12,King,4,Seattle CBD
423,13,12,King,4,Seattle CBD
424,13,12,King,4,Seattle CBD
425,12,12,King,4,Seattle CBD
426,12,12,King,4,Seattle CBD
427,12,12,King,4,Seattle CBD
428,12,12,King,4,Seattle CBD
429,12,12,King,4,Seattle CBD
430,9,12,King,4,Seattle CBD
431,9,12,King,4,Seattle CBD
432,9,12,King,4,Seattle CBD
433,9,12,King,4,Seattle CBD
434,9,12,King,4,Seattle CBD
435,9,12,King,4,Seattle CBD
436,9,12,King,4,Seattle CBD
437,9,12,King,4,Seattle CBD
438,9,12,King,4,Seattle CBD
439,9,12,King,4,Seattle CBD
440,9,12,King,4,Seattle CBD
441,9,12,King,4,Seattle CBD
442,9,12,King,4,Seattle CBD
443,9,12,King,4,Seattle CBD
444,8,12,King,4,Seattle CBD
445,11,11,King,4,Seattle CBD
446,11,11,King,4,Seattle CBD
447,11,11,King,4,Seattle CBD
448,11,11,King,4,Seattle CBD
449,11,11,King,4,Seattle CBD
450,11,11,King,4,Seattle CBD
451,11,11,King,4,Seattle CBD
452,11,11,King,4,Seattle CBD
453,11,11,King,4,Seattle CBD
454,11,11,King,4,Seattle CBD
455,11,11,King,4,Seattle CBD
456,11,11,King,4,Seattle CBD
457,11,11,King,4,Seattle CBD
458,11,11,King,4,Seattle CBD
459,11,11,King,4,Seattle CBD
460,11,11,King,4,Seattle CBD
461,11,11,King,4,Seattle CBD
462,11,11,King,4,Seattle CBD
463,11,11,King,4,Seattle CBD
464,11,11,King,4,Seattle CBD
465,11,11,King,4,Seattle CBD
466,11,11,King,4,Seattle CBD
467,11,11,King,4,Seattle CBD
468,11,11,King,4,Seattle CBD
469,11,11,King,4,Seattle CBD
470,11,11,King,4,Seattle CBD
471,11,11,King,4,Seattle CBD
472,11,11,King,4,Seattle CBD
473,11,11,King,4,Seattle CBD
474,11,11,King,4,Seattle CBD
475,11,11,King,4,Seattle CBD
476,11,11,King,4,Seattle CBD
477,11,11,King,4,Seattle CBD
478,11,11,King,4,Seattle CBD
479,11,11,King,4,Seattle CBD
480,11,11,King,4,Seattle CBD
481,11,11,King,4,Seattle CBD
482,11,11,King,4,Seattle CBD
483,11,11,King,4,Seattle CBD
484,11,11,King,4,Seattle CBD
485,11,11,King,4,Seattle CBD
486,11,11,King,4,Seattle CBD
487,11,11,King,4,Seattle CBD
488,11,11,King,4,Seattle CBD
489,11,11,King,4,Seattle CBD
490,11,11,King,4,Seattle CBD
491,11,11,King,4,Seattle CBD
492,11,11,King,4,Seattle CBD
493,11,11,King,4,Seattle CBD
494,11,11,King,4,Seattle CBD
495,11,11,King,4,Seattle CBD
496,11,11,King,4,Seattle CBD
497,11,11,King,4,Seattle CBD
498,11,11,King,4,Seattle CBD
499,11,11,King,4,Seattle CBD
500,11,11,King,4,Seattle CBD
501,11,11,King,4,Seattle CBD
502,11,11,King,4,Seattle CBD
503,11,11,King,4,Seattle CBD
504,11,11,King,4,Seattle CBD
505,11,11,King,4,Seattle CBD
506,11,11,King,4,Seattle CBD
507,11,11,King,4,Seattle CBD
508,11,11,King,4,Seattle CBD
509,11,11,King,4,Seattle CBD
510,11,11,King,4,Seattle CBD
511,11,11,King,4,Seattle CBD
512,11,11,King,4,Seattle CBD
513,11,11,King,4,Seattle CBD
514,11,11,King,4,Seattle CBD
515,11,11,King,4,Seattle CBD
516,11,11,King,4,Seattle CBD
517,11,11,King,4,Seattle CBD
518,11,11,King,4,Seattle CBD
519,11,11,King,4,Seattle CBD
520,11,11,King,4,Seattle CBD
521,11,11,King,4,Seattle CBD
522,11,11,King,4,Seattle CBD
523,11,11,King,4,Seattle CBD
524,11,11,King,4,Seattle CBD
525,11,11,King,4,Seattle CBD
526,11,11,King,4,Seattle CBD
527,11,11,King,4,Seattle CBD
528,11,11,King,4,Seattle CBD
529,11,11,King,4,Seattle CBD
530,11,11,King,4,Seattle CBD
531,11,11,King,4,Seattle CBD
532,11,11,King,4,Seattle CBD
533,11,11,King,4,Seattle CBD
534,11,11,King,4,Seattle CBD
535,11,11,King,4,Seattle CBD
536,11,11,King,4,Seattle CBD
537,11,11,King,4,Seattle CBD
538,11,11,King,4,Seattle CBD
539,11,11,King,4,Seattle CBD
540,11,11,King,4,Seattle CBD
541,11,11,King,4,Seattle CBD
542,11,11,King,4,Seattle CBD
543,11,11,King,4,Seattle CBD
544,11,11,King,4,Seattle CBD
545,11,11,King,4,Seattle CBD
546,11,11,King,4,Seattle CBD
547,12,12,King,4,Seattle CBD
548,12,12,King,4,Seattle CBD
549,12,12,King,4,Seattle CBD
550,12,12,King,4,Seattle CBD
551,12,12,King,4,Seattle CBD
552,12,12,King,4,Seattle CBD
553,12,12,King,4,Seattle CBD
554,12,12,King,4,Seattle CBD
555,13,12,King,4,Seattle CBD
556,13,12,King,4,Seattle CBD
557,13,12,King,4,Seattle CBD
558,13,12,King,4,Seattle CBD
559,13,12,King,4,Seattle CBD
560,13,12,King,4,Seattle CBD
561,13,12,King,4,Seattle CBD
562,13,12,King,4,Seattle CBD
563,13,12,King,4,Seattle CBD
564,13,12,King,4,Seattle CBD
565,12,12,King,4,Seattle CBD
566,12,12,King,4,Seattle CBD
567,12,12,King,4,Seattle CBD
568,12,12,King,4,Seattle CBD
569,12,12,King,4,Seattle CBD
570,12,12,King,4,Seattle CBD
571,12,12,King,4,Seattle CBD
572,12,12,King,4,Seattle CBD
573,12,12,King,4,Seattle CBD
574,12,12,King,4,Seattle CBD
575,12,12,King,4,Seattle CBD
576,12,12,King,4,Seattle CBD
577,12,12,King,4,Seattle CBD
578,12,12,King,4,Seattle CBD
579,12,12,King,4,Seattle CBD
580,12,12,King,4,Seattle CBD
581,12,12,King,4,Seattle CBD
582,12,12,King,4,Seattle CBD
583,12,12,King,4,Seattle CBD
584,12,12,King,4,Seattle CBD
585,12,12,King,4,Seattle CBD
586,13,12,King,4,Seattle CBD
587,13,12,King,4,Seattle CBD
588,13,12,King,4,Seattle CBD
589,13,12,King,4,Seattle CBD
590,13,12,King,4,Seattle CBD
591,13,12,King,4,Seattle CBD
592,13,12,King,4,Seattle CBD
593,13,12,King,4,Seattle CBD
594,13,12,King,4,Seattle CBD
595,13,12,King,4,Seattle CBD
596,13,12,King,4,Seattle CBD
597,13,12,King,4,Seattle CBD
598,13,12,King,4,Seattle CBD
599,13,12,King,4,Seattle CBD
600,13,12,King,4,Seattle CBD
601,13,12,King,4,Seattle CBD
602,12,12,King,4,Seattle CBD
603,12,12,King,4,Seattle CBD
604,12,12,King,4,Seattle CBD
605,12,12,King,4,Seattle CBD
606,12,12,King,4,Seattle CBD
607,12,12,King,4,Seattle CBD
608,12,12,King,4,Seattle CBD
609,12,12,King,4,Seattle CBD
610,11,11,King,4,Seattle CBD
611,11,11,King,4,Seattle CBD
612,11,11,King,4,Seattle CBD
613,11,11,King,4,Seattle CBD
614,11,11,King,4,Seattle CBD
615,11,11,King,4,Seattle CBD
616,13,10,King,4,Seattle CBD
617,13,10,King,4,Seattle CBD
618,13,10,King,4,Seattle CBD
619,13,10,King,4,Seattle CBD
620,13,10,King,4,Seattle CBD
621,13,10,King,4,Seattle CBD
622,13,10,King,4,Seattle CBD
623,13,10,King,4,Seattle CBD
624,13,10,King,4,Seattle CBD
625,13,10,King,4,Seattle CBD
626,13,10,King,4,Seattle CBD
627,11,11,King,4,Seattle CBD
628,11,11,King,4,Seattle CBD
629,11,11,King,4,Seattle CBD
630,14,10,King,5,West-South Seattle
631,14,11,King,5,West-South Seattle
632,14,11,King,5,West-South Seattle
633,14,10,King,5,West-South Seattle
634,14,10,King,5,West-South Seattle
635,14,10,King,5,West-South Seattle
636,14,10,King,5,West-South Seattle
637,14,10,King,5,West-South Seattle
638,13,10,King,4,Seattle CBD
639,13,10,King,4,Seattle CBD
640,13,10,King,4,Seattle CBD
641,14,10,King,5,West-South Seattle
642,14,10,King,5,West-South Seattle
643,14,10,King,5,West-South Seattle
644,14,10,King,5,West-South Seattle
645,14,10,King,5,West-South Seattle
646,14,10,King,5,West-South Seattle
647,14,10,King,5,West-South Seattle
648,14,10,King,5,West-South Seattle
649,14,10,King,5,West-South Seattle
650,14,10,King,5,West-South Seattle
651,14,10,King,5,West-South Seattle
652,14,10,King,5,West-South Seattle
653,14,10,King,5,West-South Seattle
654,14,10,King,5,West-South Seattle
655,14,10,King,5,West-South Seattle
656,14,10,King,5,West-South Seattle
657,14,10,King,5,West-South Seattle
658,14,10,King,5,West-South Seattle
659,14,10,King,5,West-South Seattle
660,14,10,King,5,West-South Seattle
661,14,10,King,5,West-South Seattle
662,14,10,King,5,West-South Seattle
663,14,10,King,5,West-South Seattle
664,14,10,King,5,West-South Seattle
665,14,10,King,5,West-South Seattle
666,14,10,King,5,West-South Seattle
667,14,10,King,5,West-South Seattle
668,14,10,King,5,West-South Seattle
669,14,10,King,5,West-South Seattle
670,14,10,King,5,West-South Seattle
671,14,10,King,5,West-South Seattle
672,14,10,King,5,West-South Seattle
673,14,10,King,5,West-South Seattle
674,16,10,King,5,West-South Seattle
675,16,10,King,5,West-South Seattle
676,15,10,King,5,West-South Seattle
677,15,10,King,5,West-South Seattle
678,15,10,King,5,West-South Seattle
679,15,10,King,5,West-South Seattle
680,15,10,King,5,West-South Seattle
681,15,10,King,5,West-South Seattle
682,15,10,King,5,West-South Seattle
683,15,10,King,5,West-South Seattle
684,15,10,King,5,West-South Seattle
685,16,10,King,5,West-South Seattle
686,16,10,King,5,West-South Seattle
687,15,10,King,5,West-South Seattle
688,15,10,King,5,West-South Seattle
689,15,10,King,5,West-South Seattle
690,15,10,King,5,West-South Seattle
691,15,10,King,5,West-South Seattle
692,15,10,King,5,West-South Seattle
693,15,10,King,5,West-South Seattle
694,15,10,King,5,West-South Seattle
695,15,10,King,5,West-South Seattle
696,15,10,King,5,West-South Seattle
697,15,10,King,5,West-South Seattle
698,15,10,King,5,West-South Seattle
699,16,10,King,5,West-South Seattle
700,16,10,King,5,West-South Seattle
701,16,10,King,5,West-South Seattle
